entrez	symbol	chr_pos	full_name	probe_id	ENST
1	A1BG	19q13.4	alpha-1-B glycoprotein	3872817	ENST00000263100
2	A2M	12p13.31	alpha-2-macroglobulin	3443348	ENST00000318602
9	NAT1	8p22	N-acetyltransferase 1 (arylamine N-acetyltransferase)	3087947	ENST00000307719
10	NAT2	8p22	N-acetyltransferase 2 (arylamine N-acetyltransferase)	3087990	ENST00000286479
12	SERPINA3	14q32.1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	3549757	ENST00000393078
13	AADAC	3q21.3-q25.2	arylacetamide deacetylase (esterase)	2648074	ENST00000232892
14	AAMP	2q35	angio-associated, migratory cell protein	2599345	ENST00000248450
15	AANAT	17q25	aralkylamine N-acetyltransferase	3735505	ENST00000392492
16	AARS	16q22	alanyl-tRNA synthetase	3697015	ENST00000261772
18	ABAT	16p13.2	4-aminobutyrate aminotransferase	3647421	ENST00000425191
19	ABCA1	9q31.1	ATP-binding cassette, sub-family A (ABC1), member 1	3218528	ENST00000374736
20	ABCA2	9q34	ATP-binding cassette, sub-family A (ABC1), member 2	3230610	ENST00000341511
21	ABCA3	16p13.3	ATP-binding cassette, sub-family A (ABC1), member 3	3676763	ENST00000301732
22	ABCB7	Xq13.3	ATP-binding cassette, sub-family B (MDR/TAP), member 7	4012949	ENST00000253577
23	ABCF1	6p21.33	ATP-binding cassette, sub-family F (GCN20), member 1	2901687	ENST00000326195
24	ABCA4	1p22	ATP-binding cassette, sub-family A (ABC1), member 4	2423669	ENST00000370225
25	ABL1	9q34.1	c-abl oncogene 1, non-receptor tyrosine kinase	3191724	ENST00000318560
26	ABP1	7q34-q36	amiloride binding protein 1 (amine oxidase (copper-containing))	3031650	ENST00000493429
27	ABL2	1q25.2	v-abl Abelson murine leukemia viral oncogene homolog 2	2446047	ENST00000502732
28	ABO	9q34.2	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	3228582	NA
29	ABR	17p13.3	active BCR-related gene	3739962	ENST00000302538
30	ACAA1	3p23-p22	acetyl-CoA acyltransferase 1	2669533	ENST00000333167
31	ACACA	17q21	acetyl-CoA carboxylase alpha	3754469	ENST00000394407
32	ACACB	12q24.11	acetyl-CoA carboxylase beta	3430959	ENST00000377848
33	ACADL	2q34-q35	acyl-CoA dehydrogenase, long chain	2597347	ENST00000233710
34	ACADM	1p31	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	2342576	ENST00000370841
35	ACADS	12q24.31	acyl-CoA dehydrogenase, C-2 to C-3 short chain	3434594	ENST00000242592
